title,image,author,audioUrls
Games Untapped,http://is3.mzstatic.com/image/thumb/Music62/v4/04/20/8b/04208b8a-7f5b-1e09-db98-1fafb3358d47/source/600x600bb.jpg,Games Untapped,http://jt.ximalaya.com/wKgJUlo06CWxCGv1ABKF3dX5Aoc802.m4a?channel=rss&album_id=2822479&track_id=63546469&uid=15819092&jt=http://audio.xmcdn.com/group36/M0A/A0/EA/wKgJUlo06CWxCGv1ABKF3dX5Aoc802.m4a
Geek Culture Appreciation Team,http://is4.mzstatic.com/image/thumb/Music122/v4/84/b6/d8/84b6d8f5-5e43-fff4-3307-8c38f4b541a2/source/600x600bb.jpg,Geek Culture Appreciation Team,http://traffic.libsyn.com/musolistradio/Morning_Commute_wNick_422.mp3?dest-id=455625
Girl Tribe Gaming Podcast: Xbox and PS4 Video Game Reviews,http://is1.mzstatic.com/image/thumb/Music71/v4/18/a3/15/18a31559-b9c1-d333-12b0-37220ae1d098/source/600x600bb.jpg,Jen: Xbox MVP | Zen: Xbox One and PS4 Gamer,http://www.podtrac.com/pts/redirect.mp3/feeds.soundcloud.com/stream/372195515-atacinternational-d157-la-loi-de-la-foi-vous-libere.mp3
Giraffe Feels: A Retro Video Game Podcast,http://is2.mzstatic.com/image/thumb/Music71/v4/04/77/58/04775851-6035-d76a-109d-ff84c9e611eb/source/600x600bb.jpg,William Wend,http://download.sgr.globo.com/audios/encodeds/3/2017/12/20/146775_20171220.mp3
Elder Scrolls off the Record,http://is5.mzstatic.com/image/thumb/Music71/v4/ad/f1/68/adf1686d-63d8-d98e-63e9-7a3a10b7e717/source/600x600bb.jpg,The Quest Gaming Network,http://download.sgr.globo.com/audios/encodeds/3/2017/12/20/146773_20171220.mp3
Earth 919: A Comic Book Podcast,http://is1.mzstatic.com/image/thumb/Music82/v4/a0/e1/5d/a0e15d37-7bcd-b0f6-6e1e-e7d57a422d9e/source/600x600bb.jpg,Mat,http://download.sgr.globo.com/audios/encodeds/3/2017/12/20/146771_20171220.mp3
Everything Ham Radio Podcast,http://is2.mzstatic.com/image/thumb/Music127/v4/d3/e8/41/d3e8418a-3fff-1408-83f6-56b25d0b7b57/source/600x600bb.jpg,Curtis Mohr,http://download.sgr.globo.com/audios/encodeds/3/2017/12/20/146741_20171220.mp3
ESCAPE POD with David Anthony and Tony Brown,http://is1.mzstatic.com/image/thumb/Music127/v4/bf/2f/eb/bf2feb0f-4f1f-16ef-7cb9-7ba1e2084114/source/600x600bb.jpg,David Anthony,http://download.sgr.globo.com/audios/encodeds/3/2017/12/20/146739_20171220.mp3
It's All Mishegoss,http://is5.mzstatic.com/image/thumb/Music118/v4/df/dc/82/dfdc82ef-d06a-20c1-f1de-522d11a3fdde/source/600x600bb.jpg,Mark-John Clifford,https://prisa-es.mc.tritondigital.com/SER_LAS_PALMAS_2141/media/2017/12/20/ser_canarias_hora25canarias_20171220_192500_193000.mp3
Gamecentral Podcast,http://is1.mzstatic.com/image/thumb/Music3/v4/d4/39/87/d43987d6-ed58-ebcf-a024-0dac5e1bc77e/source/600x600bb.jpg,GameBanter,https://prisa-es.mc.tritondigital.com/SER_LAS_PALMAS_2141/media/2017/12/20/ser_canarias_laventanadecanarias_20171220_182000_184000.mp3
News KBS WORLD Radio (updated Mon thru Sat),http://is3.mzstatic.com/image/thumb/Music118/v4/21/d3/7c/21d37cd7-342c-babb-b9a5-966417ca71b6/source/600x600bb.jpg,KBS WORLD Radio,https://mp3.sermonaudio.com/filearea/991220171740340/991220171740340.mp3
Harmonia Early Music,http://is1.mzstatic.com/image/thumb/Music4/v4/01/26/b7/0126b724-5de5-a5d7-3184-208ff926077b/source/600x600bb.jpg,WFIU Public Media (wfiu.org),https://mp3.sermonaudio.com/filearea/991220171740330/991220171740330.mp3
